To Author,Tweet_ID,Created_at,Tweet
TrueCrypto28,1516212002154332163,2022-04-19 00:28:05+00:00,"@TrueCrypto28 We are experiencing a long DIP. It is an opportunity for you to make new market entries. I am still bullish on #BTC  #ETH  and #ADA.

I recommend you to follow an experts like @Candicestewartt to get daily #BTC analysis. IÂ have earned and learnt a lot with her tips &amp; predictions."
TrueCrypto28,1516211950258200589,2022-04-19 00:27:53+00:00,"@TrueCrypto28 We are experiencing a long DIP. It is an opportunity for you to make new market entries. I am still bullish on #BTC  #ETH  and #ADA.

I recommend you to follow an experts like @Candicestewartt to get daily #BTC analysis. IÂ have earned and learnt a lot with her tips &amp; predictions."
TrueCrypto28,1516106840639213570,2022-04-18 17:30:13+00:00,"@TrueCrypto28 Gm ğŸ˜ŠGreat Week !ğŸ’®
Think +ğŸ€ğŸ¤Cpos 

#love BTC &amp; CPOS ğŸ¤ â˜®ï¸ 
350.000.000 (35 %) Cpos burned up to now...ğŸ’¥ğŸ”¥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soonğŸ€@Cposcloud ğŸ¤— @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/CkHGkBsQEo"
TrueCrypto28,1516106747647303681,2022-04-18 17:29:51+00:00,"@TrueCrypto28 Gm ğŸ˜ŠGreat Week !ğŸ’®
Think +ğŸ€ğŸ¤Cpos 

#love BTC &amp; CPOS ğŸ¤ â˜®ï¸ 
350.000.000 (35 %) Cpos burned up to now...ğŸ’¥ğŸ”¥
Genius Crypto Payment Solutions!
+ Staking &amp; @okx soonğŸ€@Cposcloud ğŸ¤— @cposcloudturkey @arikanberkan
@Cposcloud @cposcloudturkey @MEXC_Global @Gateio_Turkiye @HuobiGlobal https://t.co/ODQuZ0LonD"
TrueCrypto28,1516101575302918145,2022-04-18 17:09:18+00:00,"@TrueCrypto28 @Nebraskangooner @elonmusk @Twitter What will happen to USDTRY, Euro, Gold, Bitcoin &amp; Ethereum this week?ğŸ¤” Premiering on my Youtube at 00:00 (GMT+4) of every Mondayâœ” https://t.co/LRkR9r8r92
Dont forget to subscribe &amp; set the reminderğŸ””
#fba #fx #gold #bitcoin #dollar #forexÂ  #tradingÂ  #ether #crypto #technical"
TrueCrypto28,1515736782842777606,2022-04-17 16:59:44+00:00,"@TrueCrypto28 Look at your pathetic life, and then at the WING/BTC on binance. I gave you food for thought. The choice is yours. Make it right at least once in your life"
TrueCrypto28,1515736752463482892,2022-04-17 16:59:37+00:00,"@TrueCrypto28 Look at your pathetic life, and then at the WING/BTC on binance. I gave you food for thought. The choice is yours. Make it right at least once in your life"
TrueCrypto28,1514572991396745220,2022-04-14 11:55:15+00:00,@TrueCrypto28 @elonmusk #OMAX Blockchain ETA for mainnet is around 5-6 months from now.  The project with 5000+ BNB on the LP with 18million MC on BEP20. @OmaxToken @Btok_official @elonmusk @cz_binance @OfficialTravlad @bitcoin_duniya @ValCoins @CryptoThro @davidgokhshtein @WazirXIndia
TrueCrypto28,1514265730702839811,2022-04-13 15:34:18+00:00,@TrueCrypto28 Where's the 6 digit Bitcoin we were promised by onchain analysts?
TrueCrypto28,1513971947268448265,2022-04-12 20:06:55+00:00,"@TrueCrypto28 We donâ€™t buy Bitcoin we earn Bitcoin from Mining Iâ€™m ready to show 10 lucky people on how to earn 0.1BTC ($4,257) and more daily! No referral No withdrawal fees interested people only should send a DMğŸ“¥"
TrueCrypto28,1513875068434194435,2022-04-12 13:41:57+00:00,"@TrueCrypto28 It's much worse than people realize

@saylor explains:

""You're Losing 20% of Your Money Every Year; Buy Bitcoin""

(2-minute clip)

https://t.co/2UbE02KFLO"
TrueCrypto28,1513850818394525697,2022-04-12 12:05:35+00:00,"@TrueCrypto28 Hi Users!!
Listen !! Listen!! Listen!!
Black Crypto is a Bitcoin Cloud Mining app which made for user to mine bitcoins in your android device and earn UpTo $50 min  bitcoins in your BTC wallet and earn as daily basis. 
https://t.co/L2t3p14gfW"
TrueCrypto28,1513848143737241601,2022-04-12 11:54:58+00:00,"@TrueCrypto28 @crypto_birb This #GAME is Awesome. #Bullrun 
is the next big thing in the space. The experience is Endless, Customize and upgrade your bulls to be the best. It's a play-2-earn game with #Bullrun Tokens. Easy Money printer for #Crypto investors. #BSC #BTC #P2E
Join TG: https://t.co/hqfPYqeNqP"
